id,imdb,name,year,rate,runtime,certificate,boxoffice,opening_theaters,budget_US???$),ReleaseDate,genre,genre1,genre2,genre3,genre4,genre5,genre6,Column
2658,tt0426615,In the Mix (2005),2005,2.6,95,PG_13,10100000,"1,608",,23-Nov-05,Comedy , Crime , Drama , Music , Romance,,,
2651,tt0414993,The Fountain (2006),2006,7.3,96,R,10100000,"1,472",35000000,28-Sep-06,Drama , Romance , Sci-Fi,,,,,
2661,tt1132620,The Girl with the Dragon Tattoo ,2009,7.8,152,R,10100000,202,13000000,7-Nov-09,Crime , Drama , Mystery , Thriller,,,,
2653,tt0844993,Hoodwinked Too! Hood vs. Evil (2011),2011,4.8,86,PG,10100000,"2,505",30000000,23-Apr-11,Animation , Comedy , Family,,,,,
2656,tt1604171,Prom (2011),2011,5.4,104,PG,10100000,"2,730",8000000,29-Apr-11,Comedy , Drama,,,,,,
2665,tt0384286,Cry_Wolf (2005),2005,5.9,90,UNRATED,10000000,"1,789",1000000,16-Sep-05,Drama , Horror , Mystery , Thriller,,,,
2670,tt0472160,Penelope (2006),2006,6.9,104,PG,10000000,"1,196",15000000,2006-02-29,Comedy , Fantasy , Romance,,,,,
2671,tt0804452,Bratz (2007),2007,2.7,110,PG,10000000,"1,509",,3-Aug-07,Comedy , Family , Music,,,,,
2668,tt1097013,Next Day Air (2009),2009,5.8,84,R,10000000,"1,138",3000000,8-May-09,Action , Comedy , Crime,,,,,
2680,tt1120985,Blue Valentine (2010),2010,7.4,112,R,9700000,450,1000000,24-Jan-10,Drama , Romance,,,,,,
2685,tt0804522,Rendition (2007),2007,6.8,122,R,9660000,"2,250",27500000,10-Oct-07,Drama , Thriller,,,,,,
2687,tt1742650,I Don't Know How She Does It (2011),2011,4.8,89,PG_13,9640000,"2,476",24000000,16-Sep-11,Comedy ,,,,,,,
2691,tt0469903,The Express (2008),2008,7.3,130,PG,9590000,"2,808",40000000,12-Sep-08,Biography , Drama , Sport,,,,,
2694,tt0804461,Death Sentence (2007),2007,6.8,105,TV_14,9530000,"1,822",20000000,31-Aug-07,Action , Crime , Drama , Thriller,,,,
2693,tt0977855,Fair Game (2010),2010,6.8,108,PG_13,9530000,436,22000000,2-Oct-10,Biography , Drama , Thriller,,,,,
2695,tt0858479,Smart People (2008),2008,6.2,95,R,9500000,"1,106",,20-Jan-08,Comedy , Drama , Romance,,,,,
2699,tt0907657,Once ,2006,7.9,85,R,9440000,150,150000,20-Jan-06,Drama , Music , Romance,,,,,
2700,tt1176740,Away We Go (2009),2009,7.1,98,R,9430000,506,17000000,5-Jun-09,Comedy , Drama , Romance,,,,,
2601,tt0857191,The Visitor ,2007,7.7,104,PG_13,9420000,270,,23-Jan-07,Drama ,,,,,,,
2604,tt0462200,Black Snake Moan (2006),2006,7,116,R,9400000,"1,253",15000000,9-Dec-06,Drama , Music,,,,,,
2605,tt1098327,Dragonball: Evolution (2009),2009,2.8,85,PG,9350000,"2,181",45000000,10-Apr-09,Action , Adventure , Fantasy , Sci-Fi , Thriller,,,
2610,tt1704573,Bernie (2011),2011,6.8,99,PG_13,9200000,332,5000000,16-Jun-11,Comedy , Crime , Drama,,,,,
2612,tt1019452,A Serious Man ,2009,7,106,R,9190000,262,7000000,26-Sep-09,Comedy , Drama,,,,,,
2614,tt1194263,Get Low (2009),2009,7.1,103,PG_13,9180000,570,7500000,22-Jan-09,Drama , Mystery,,,,,,
